name,nick
"Nik Stauskas","Sauce Castillo"
"Rawle Alkins","Savage Life"
"Brian Scalabrine","Scal,The Ginger Ninja,White Mamba"
"Terry Rozier","Scary Terry,T-Ro"
"Dudley Bradley","Secretary of Defense"
"Gary Trent","Shaq of the MAC"
"Malik Rose","Shaq of the NAC"
"Rasheed Wallace","Sheed"
"Stanley Johnson","Showtime"
"Iman Shumpert","Shump"
"Anderson Varejao","Sideshow Bob,Wild Thing"
"Dexter Boney","Silk"
"Jamaal Wilkes","Silk"
"Michael Redd","Silky"
"Sim Bhullar","Sim City"
"Charles Barkley","Sir Charles,The Chuckster,The Round Mound of Rebound"
"Rafer Alston","Skip 2 My Lou"
"Nikoloz Tskitishvili","Skita"
"Dick Barnett","Skull"
"Johnny High","Sky"
"Kenny Walker","Sky"
"Miles Bridges","Sky Miles"
"David Thompson","Skywalker"
"Stanislav Medvedenko","Slava"
"Eric Floyd","Sleepy"
"Chris Boucher","Slim Duck"
"Kyle Anderson","Slo Mo"
"Uros Slokar","Sloki"
"Steve Smith","Smitty"
"Larry Hughes","Smooth"
"Brandon Paul","Smooth and Chocolatey"
"Wayne Hightower","Spain"
"Clark Kellogg","Special K"
"Art Spector","Speed"
"Paul Mokeski","Speed Bump"
"Tyler Lydon","Spicy Mayo"
"Donovan Mitchell","Spida,Spider"
"JaKarr Sampson","SpongeBob Sampson"
"Nick Weatherspoon","Spoon,Spoonie"
"Latrell Sprewell","Spree"
"Scott Skiles","Spunk"
"Carldell Johnson","Squeaky"
"Jerry Stackhouse","Stack"
"Steve Francis","Stevie Franchise"
"Stewart Granger","Stew"
"Oleksiy Pecherov","Stewie"
"Earle Higgins","Sticks"
"Arnie Risen","Stilts"
"John Stockton","Stock"
"Mikal Bridges","String Bean"
"Stromile Swift","Stro"
"Gail Goodrich","Stumpy,The Stump"
"Micheal Ray Richardson","Sugar Ray"
"Jared Sullinger","Sully"
"Harold Pressley","Summertime"
"Jon Sundvold","Sunny"
"Lou Hudson","Super Lou,Sweet Lou"
"Mario Hezonja","Super Mario"
"John Laskowski","Super Sub"
"Lloyd Daniels","Swee' Pea,Sweet Pea"
"Mychal Thompson","Sweet Bells"
"Lou Williams","Sweet Lou"
"Mike Sweetney","Sweets"
"Nat Clifton","Sweets,Sweetwater"
"De'Aaron Fox","Swipa"
"Troy Hudson","T-Hud"
"Tracy McGrady","T-Mac"
"Kevin Willis","T-Rex"
"Jayson Tatum","Taco Jay"
"LaSalle Thompson","Tank"
"Mark McNamara","Tank"
"Danny Green","Tar Heel Triple"
"Tayshaun Prince","Tay"
"Avery Johnson","Taz,The Little General"
"Artis Gilmore","The A-Train"
"David Robinson","The Admiral"
"Ken Bannister","The Animal"
"Audie Norris","The Atomic Dog"
"Isiah Thomas","The Baby-Faced Assassin,Zeke"
"James Harden","The Beard"
"Aron Baynes","The Big Banger"
"Jamaal Magloire","The Big Cat"
"Antoine Carr","The Big Dog"
"Elvin Hayes","The Big E"
"Cody Zeller","The Big Handsome"
"Oliver Miller","The Big O"
"Donte DiVincenzo","The Big Ragu"
"Alex English","The Blade"
"Ryan Hollins","The Booty Call"
"Jusuf Nurkic","The Bosnian Bear,The Bosnian Beast"
"Andrew Toney","The Boston Strangler"
"Rex Chapman","The Boy Wonder"
"Leandro Barbosa","The Brazilian Blur"
"Marcus Camby","The Camby Man"
"Willis Reed","The Captain"
"Chris Kaman","The Caveman"
"Robert Parish","The Chief"
"Boban Marjanovic","The Chimney of Kostolac"
"Kawhi Leonard","The Claw"
"Reggie Evans","The Collector"
"Jerry Lucas","The Computer"
"Mel Gibson","The Cordova Comet"
"Brian Cardinal","The Custodian,The Janitor"
"Sean Higgins","The Dean"
"Goran Dragic","The Dragon"
"Rik Smits","The Dunking Dutchman"
"Kermit Washington","The Eagle"
"Chris Gatling","The Energizer"
"Lauri Markkanen","The Finnisher"
"Frank Ntilikina","The French Prince"
"Rudy Gobert","The French Rejection,The Stifle Tower"
"Clem Haskins","The Gem"
"Gary Grant","The General"
"Gary Phillips","The Ghost"
"Nikola Pekovic","The Godfather"
"Yao Ming","The Great Wall"
"Giannis Antetokounmpo","The Greek Freak"
"Tony Allen","The Grindfather"
"Dario Saric","The Homie"
"Marvin Webster","The Human Eraser"
"Terrence Ross","The Human Torch"
"Stojko Vrankovic","The Human Victory Cigar"
"Chet Walker","The Jet"
"Kenny Smith","The Jet"
"Jonathon Simmons","The Juice"
"Billy Cunningham","The Kangaroo Kid"
"Frank Ramsey","The Kentucky Colonel"
"Shelden Williams","The Landlord"
"T.J. Ford","The Little Engine"
"DeShawn Stevenson","The Locksmith"
"Sasha Vujacic","The Machine"
"Karl Malone","The Mailman"
"Wayne Ellington","The Man with the Golden Arm"
"Jim Pollard","The Man With the Long Gray Beard"
"Shawn Marion","The Matrix"
"Fred Hoiberg","The Mayor"
"Gary Payton II","The Mitten"
"Mitch McGary","The Monster"
"Bill Mlkvy","The Owl without a Vowel"
"Will Barton","The People's Champ"
"Frank Mason III","The Phenom"
"Stacey Augmon","The Plastic Man"
"Marcin Gortat","The Polish Gazelle,The Polish Hammer"
"Steven Hunter","The Postman"
"Andre Miller","The Professor"
"Roger Strickland","The Rifle"
"Chuck Person","The Rifleman"
"Norris Coleman","The Sarge"
"Rodney McGruder","The Scavenger"
"Sidney Moncrief","The Squid"
"Adam Morrison","The Stache"
"Norm Van Lier","The Storm"
"Shawn Bradley","The Stormin' Mormon"
"Sedale Threatt","The Thief"
"Mike Scott","The Threegional Manager"
"Junior Bridgeman","The Torch"
"Paul Pierce","The Truth"
"Earl Cureton","The Twirl"
"Wayne Embry","The Wall"
"Gus Williams","The Wizard"
"Walt Williams","The Wizard"
"Tim Hardaway Jr.","THJ"
"Nikola Mirotic","Threekola"
"Kyle Korver","Threezus"
"Dan Majerle","Thunder Dan"
"George Thompson","Tipper"
"Timothe Luwawu-Cabarrot","TLC"
"Tornike Shengelia","Toko"
"Tony Parker","TP"
"Robert Traylor","Tractor Traylor"
"Jack McCloskey","Trade Winds,Trader Jack"
"Montrezl Harrell","Trez"
"Walter Berry","Truth"
"Caron Butler","Tuff Juice"
"Udonis Haslem","U.D."
"Clifford Robinson","Uncle Cliffy"
"Pat Connaughton","Vanilla Thunder"
"Vander Blue","Veezy"
"Vladimir Radmanovic","Vlad Rad"
"Nikola Vucevic","Vooch"
"Greg Grant","Waterbug"
"Kelly Oubre Jr.","Wave Papi"
"Dave Minor","Wheelhorse of Steel City"
"Johnny Macknowski","Whitey"
"Will Bynum","Will The Thrill"
"Michael Cage","Windexman"
"Scott Brooks","Wonderdog"
"Leon Wood","Woodman"
"Sean Rooks","Wookie"
"Willie McCarter","Worm"
"Tony Wroten","Wrecking Ball"
"Xavier McDaniel","X,X-Man"
"Andrew Nicholson","YMCA"
"Michael Stewart","Yogi"
"Yogi Ferrell","Yogi"
"Collin Sexton","Young Bull"
"Zach LaVine","Young Hollywood"
"Zach Randolph","Z-Bo"
"Larry Siegfried","Ziggy"
"Alonzo Mourning","Zo"
"Lonzo Ball","Zo"
"Ivica Zubac","Zu,Zublocka"
"Patrick Patterson","2Pat"
"Dennis Scott","3-D"
